'ID','VERSION',CHANGEDATE,'NAME','REVISIONCOMMENTS'
1,1,'1995-08-15','Jerry','Initial version sent to David and installed in WKU lab'
2,1.1,'1995-09-29','Jerry',"'Added Export Data for exercises, fixed Zip Codes (by adding ShortZipCode), fixed data--tri spoke wheel is Specialized, minor format changes to PurchaseOrder form, changed data slightly so not all purchase items were received.'"
3,1.2,'1996-06-10','Jerry',"'Converted city to CityID, new ZipCode data entry, added city database, added retail stores'"
4,1.2,'1996-06-13','Jerry',"'Added customer location options to Generate Bicycles, assign retail stores by 3 digit Zip code'"
5,1.2,'1996-06-18','Jerry',"'Fixed TestBalances Form (no rsBike!Discount, ComponentList not ComponentPrice'"
6,2,'1999-05-04','Jerry','Added lots of new component data; added year to components; added full suspension mountain bike'
7,2.1,'2000-06-20','Jerry','Converted to Access 2000/ADO; renamed some columns for Oracle transfer; fixed some minor issues'
8,2.2,'2002-01-10','Jerry','Converted to Access 2002/XP'
